n,f,runs,mean_rounds,std_rounds,ratio_log2n,ratio_theory
19781,0.2,100,30.5,1.87218,2.13708,1.70966
19781,0.4,100,38.84,2.21893,2.72145,1.63287
19781,0.6,100,57.2,4.4176,4.0079,1.60316
19781,0.8,100,109,8.9341,7.63742,1.52748
23737,0,100,25.97,1.32158,1.78674,1.78674
23737,0.2,100,31.02,1.46322,2.13418,1.70734
23737,0.4,100,40.26,2.72519,2.76989,1.66194
23737,0.6,100,58.51,4.24144,4.0255,1.6102
23737,0.8,100,112.61,9.01502,7.74759,1.54952
28485,0,100,26.35,1.50672,1.78066,1.78066
28485,0.2,100,31.34,1.37965,2.11787,1.69429
28485,0.4,100,41.05,2.29349,2.77404,1.66442
28485,0.6,100,59.22,3.38917,4.00192,1.60077
28485,0.8,100,112.64,8.35394,7.61188,1.52238
34182,0,100,26.69,1.28468,1.77213,1.77213
34182,0.2,100,32.05,1.59782,2.12802,1.70242
34182,0.4,100,41.56,2.55967,2.75945,1.65567
34182,0.6,100,59.69,3.35356,3.96323,1.58529
34182,0.8,100,113.92,6.89412,7.56393,1.51279
41018,0,100,27.07,1.19979,1.76651,1.76651
41018,0.2,100,32.81,1.75058,2.14109,1.71287
41018,0.4,100,41.55,2.24002,2.71144,1.62686
41018,0.6,100,61.31,4.03944,4.00092,1.60037
41018,0.8,100,116.45,7.68098,7.59921,1.51984
49222,0,100,27.25,1.01876,1.74825,1.74825
49222,0.2,100,33.14,1.71753,2.12613,1.7009
49222,0.4,100,42.8,2.18812,2.74588,1.64753
49222,0.6,100,61.79,3.62732,3.9642,1.58568
49222,0.8,100,118.6,8.94201,7.6089,1.52178
59066,0,100,28.12,1.30485,1.77413,1.77413
59066,0.2,100,33.78,1.64274,2.13122,1.70498
59066,0.4,100,43.25,2.80467,2.7287,1.63722
59066,0.6,100,62.67,3.78208,3.95393,1.58157
59066,0.8,100,120.8,8.11782,7.62143,1.52429
70880,0,100,28.5,1.2988,1.76875,1.76875
70880,0.2,100,34.43,1.70119,2.13677,1.70942
70880,0.4,100,44.57,2.49952,2.76607,1.65964
70880,0.6,100,63.56,3.79878,3.94462,1.57785
70880,0.8,100,122.06,8.27656,7.57521,1.51504
85056,0,100,29.03,1.37404,1.7727,1.7727
85056,0.2,100,34.89,1.80289,2.13054,1.70443
85056,0.4,100,44.91,2.30105,2.74241,1.64544
85056,0.6,100,65.25,4.23877,3.98446,1.59378
85056,0.8,100,123.7,10.3743,7.55368,1.51074
102067,0,60,29.3,1.44152,1.76091,1.76091
102067,0.2,60,35.5833,2.09351,2.13853,1.71082
102067,0.4,60,45.4667,2.52759,2.73251,1.63951
102067,0.6,60,66.0167,4.6741,3.96755,1.58702
102067,0.8,60,125.833,7.39942,7.56248,1.5125
122480,0,60,29.7167,1.50808,1.75816,1.75816
122480,0.2,60,36.1,1.82914,2.13582,1.70865
122480,0.4,60,46.75,3.01198,2.76591,1.65955
122480,0.6,60,66.2333,3.88987,3.91863,1.56745
122480,0.8,60,127.033,7.06619,7.51579,1.50316
146977,0,60,30.2,1.17603,1.75937,1.75937
146977,0.2,60,36.5833,1.60815,2.13125,1.705
146977,0.4,60,46.9167,2.44458,2.73324,1.63994
146977,0.6,60,66.85,3.43376,3.8945,1.5578
146977,0.8,60,130.967,10.6277,7.62976,1.52595
176372,0,60,30.45,1.21327,1.74716,1.74716
176372,0.2,60,36.8667,1.5781,2.11534,1.69227
176372,0.4,60,48.2167,2.96357,2.76658,1.65995
176372,0.6,60,68.95,4.69917,3.95622,1.58249
176372,0.8,60,133.583,8.85532,7.66475,1.53295
211647,0,60,31.0333,1.14931,1.75416,1.75416
211647,0.2,60,37.45,1.52299,2.11686,1.69349
211647,0.4,60,49.1333,2.7523,2.77726,1.66636
211647,0.6,60,69.5833,3.997,3.93319,1.57328
211647,0.8,60,134.6,8.03847,7.60826,1.52165
253976,0,60,31.3667,1.07304,1.74702,1.74702
253976,0.2,60,38.05,1.62005,2.11927,1.69541
253976,0.4,60,49.1667,2.59835,2.73843,1.64306
253976,0.6,60,70.5833,4.91381,3.93127,1.57251
253976,0.8,60,136.883,8.24434,7.62397,1.52479
304771,0,60,32.0167,1.11221,1.75748,1.75748
304771,0.2,60,38.9,1.81052,2.13533,1.70826
304771,0.4,60,49.8167,2.77697,2.73457,1.64074
304771,0.6,60,70.4667,4.11062,3.8681,1.54724
304771,0.8,60,139.217,8.10125,7.64198,1.5284
365726,0,60,32.7167,1.60604,1.77034,1.77034
365726,0.2,60,39.1167,1.54142,2.11666,1.69333
365726,0.4,60,50.3667,2.73686,2.72541,1.63525
365726,0.6,60,73.1167,3.5753,3.95644,1.58258
365726,0.8,60,138.267,9.13527,7.4818,1.49636
438871,0,60,32.85,1.13234,1.75261,1.75261
438871,0.2,60,39.6667,1.71402,2.1163,1.69304
438871,0.4,60,51.1833,2.35416,2.73073,1.63844
438871,0.6,60,73.5833,3.67443,3.92582,1.57033
438871,0.8,60,142.6,9.75496,7.608,1.5216
526645,0,60,33.15,1.25988,1.74414,1.74414
526645,0.2,60,40.3833,1.85117,2.12471,1.69977
526645,0.4,60,52.0833,2.61217,2.74029,1.64418
526645,0.6,60,75.25,5.63772,3.95918,1.58367
526645,0.8,60,142.883,5.96911,7.51761,1.50352
631974,0,60,33.85,1.20486,1.75666,1.75666
631974,0.2,60,40.8167,1.76108,2.1182,1.69456
631974,0.4,60,52.55,2.70232,2.72711,1.63626
631974,0.6,60,76.6333,4.34904,3.97692,1.59077
631974,0.8,60,144.65,8.8659,7.50668,1.50134
758369,0,60,34.2,1.43562,1.75092,1.75092
758369,0.2,60,41.3667,1.81301,2.11783,1.69427
758369,0.4,60,52.9333,2.76091,2.71001,1.626
758369,0.6,60,76.7,3.46067,3.92678,1.57071
758369,0.8,60,148.617,9.03682,7.60867,1.52173
910043,0,60,34.5333,1.19981,1.7445,1.7445
910043,0.2,60,41.9667,1.84084,2.12,1.696
910043,0.4,60,53.9667,2.64233,2.7262,1.63572
910043,0.6,60,78.25,4.31641,3.9529,1.58116
910043,0.8,60,148.667,7.65278,7.5101,1.50202
1092052,0,30,34.7667,1.25075,1.73325,1.73325
1092052,0.2,30,42.3333,1.58296,2.11048,1.68839
1092052,0.4,30,54.6333,3.0341,2.72368,1.63421
1092052,0.6,30,79.3333,3.91578,3.95508,1.58203
1092052,0.8,30,149.633,7.83662,7.45981,1.49196
1310463,0,30,35.7667,1.16511,1.76003,1.76003
1310463,0.2,30,42.5667,1.47819,2.09465,1.67572
1310463,0.4,30,54.6333,2.56614,2.68843,1.61306
1310463,0.6,30,81.1333,5.9465,3.99246,1.59698
1310463,0.8,30,152.5,7.31437,7.50431,1.50086
1572555,0,30,36.4,1.58875,1.76831,1.76831
1572555,0.2,30,43.3,1.62205,2.10351,1.6828
1572555,0.4,30,55.5333,2.51524,2.6978,1.61868
1572555,0.6,30,80.9667,4.83866,3.93335,1.57334
1572555,0.8,30,156.367,8.21472,7.59626,1.51925
1887066,0,30,36.5,1.04221,1.75079,1.75079
1887066,0.2,30,43.8667,1.38298,2.10415,1.68332
1887066,0.4,30,56.6333,2.31164,2.71652,1.62991
